epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,21749.9,0.63272,0.39479,0.9006,0.93373,0.87312,0.94455,0.52636,1.7129,0.64375,1.30298,0.003895,0.003895,0.003895
76,22037.7,0.62921,0.39125,0.89943,0.93179,0.87032,0.94205,0.52116,1.72821,0.6512,1.30942,0.0038125,0.0038125,0.0038125
77,22325.3,0.62729,0.39138,0.89884,0.92901,0.84836,0.92759,0.49768,1.79152,0.69185,1.33216,0.00373,0.00373,0.00373
78,22612.2,0.62571,0.38863,0.89835,0.92894,0.85111,0.92912,0.49952,1.78904,0.68737,1.3323,0.0036475,0.0036475,0.0036475
79,22902.1,0.62367,0.38564,0.89738,0.92653,0.84117,0.9216,0.48979,1.81402,0.70697,1.33922,0.003565,0.003565,0.003565
80,23190.6,0.6199,0.38355,0.89669,0.92366,0.83325,0.91486,0.48158,1.83512,0.72434,1.34416,0.0034825,0.0034825,0.0034825
81,23478.8,0.61824,0.38223,0.89606,0.92425,0.83244,0.91446,0.48129,1.83692,0.72522,1.34521,0.0034,0.0034,0.0034
82,23767.2,0.61509,0.38012,0.89512,0.91754,0.8162,0.90027,0.46362,1.88078,0.7617,1.35499,0.0033175,0.0033175,0.0033175
83,24057,0.61309,0.37806,0.89434,0.92106,0.82587,0.90841,0.47403,1.85665,0.74061,1.34949,0.003235,0.003235,0.003235
84,24345.7,0.611,0.37549,0.89397,0.92124,0.82625,0.90856,0.47457,1.85589,0.73909,1.34918,0.0031525,0.0031525,0.0031525
85,24634,0.60709,0.37319,0.89262,0.91987,0.82174,0.90461,0.46991,1.86752,0.74986,1.35086,0.00307,0.00307,0.00307
86,24923.3,0.60467,0.37022,0.89194,0.91548,0.8094,0.89454,0.45714,1.89821,inf,1.3578,0.0029875,0.0029875,0.0029875
87,25212,0.60189,0.3689,0.89123,0.88966,0.77577,0.86393,0.42748,1.95248,inf,1.36516,0.002905,0.002905,0.002905
88,25504.4,0.59798,0.36591,0.89019,0.8317,0.72455,0.81388,0.3895,2.00567,inf,1.37567,0.0028225,0.0028225,0.0028225
89,25794.5,0.596,0.3642,0.88943,0.83597,0.73124,0.81911,0.39377,1.99756,inf,1.37277,0.00274,0.00274,0.00274
90,26086,0.59274,0.36128,0.88848,0.69628,0.61512,0.67467,0.3106,2.08376,inf,1.40646,0.0026575,0.0026575,0.0026575
91,26378,0.58956,0.35887,0.88748,0.71137,0.62597,0.69058,0.31896,2.07523,inf,1.40196,0.002575,0.002575,0.002575
92,26671.5,0.58557,0.35592,0.88633,0.58052,0.52535,0.51844,0.23268,2.1631,inf,1.45575,0.0024925,0.0024925,0.0024925
93,26963.8,0.58225,0.3525,0.88523,0.55034,0.50608,0.48017,0.21361,2.18855,inf,1.47204,0.00241,0.00241,0.00241
94,27255.3,0.57883,0.35155,0.88433,0.59273,0.53597,0.53827,0.2436,2.14363,inf,1.4447,0.0023275,0.0023275,0.0023275
95,27547.3,0.57499,0.34887,0.88334,0.54156,0.50094,0.46945,0.20899,2.18817,inf,1.47369,0.002245,0.002245,0.002245
96,27842,0.57161,0.34514,0.88188,0.39478,0.40265,0.3,0.12542,2.35142,inf,1.58144,0.0021625,0.0021625,0.0021625
