epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,17279.2,0.55303,0.29944,0.87448,0.95126,0.91436,0.96994,0.69131,1.18735,0.49299,1.07235,0.00109,0.00109,0.00109
110,17569.3,0.54668,0.2958,0.87228,0.95063,0.91259,0.96872,0.68973,1.18946,0.49776,1.07329,0.0010075,0.0010075,0.0010075
111,17865.6,0.54138,0.29301,0.87139,0.95035,0.91051,0.9675,0.68896,1.18863,0.50238,1.07317,0.000925,0.000925,0.000925
112,18154.2,0.53468,0.28942,0.86957,0.94994,0.9072,0.96585,0.68697,1.19137,0.50898,1.07434,0.0008425,0.0008425,0.0008425
113,18440.9,0.52891,0.28637,0.86821,0.94942,0.90457,0.96417,0.68477,1.19426,0.51555,1.07568,0.00076,0.00076,0.00076
114,18728.1,0.52227,0.28277,0.86616,0.949,0.90101,0.9621,0.68184,1.1994,0.52369,1.07805,0.0006775,0.0006775,0.0006775
115,19013.7,0.51542,0.27911,0.86434,0.94808,0.8972,0.95988,0.67812,1.20689,0.53338,1.0816,0.000595,0.000595,0.000595
116,19302.7,0.50806,0.27547,0.86234,0.94675,0.89341,0.95741,0.67422,1.21459,0.54383,1.08513,0.0005125,0.0005125,0.0005125
117,19589.5,0.50106,0.27147,0.86073,0.9452,0.8884,0.95431,0.66954,1.22341,0.55758,1.08939,0.00043,0.00043,0.00043
118,19877,0.49389,0.26778,0.85898,0.94233,0.88296,0.9509,0.6641,1.23242,0.57209,1.09406,0.0003475,0.0003475,0.0003475
119,20163.7,0.48634,0.26391,0.85701,0.93887,0.87664,0.9471,0.65785,1.24402,0.5882,1.09973,0.000265,0.000265,0.000265
120,20452.6,0.47881,0.26026,0.85493,0.93346,0.86984,0.94223,0.65033,1.25613,0.60731,1.10606,0.0001825,0.0001825,0.0001825
